epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3845,2.26829,5.53055,1.72933,0.00111,1,0.54996,0.17694,2.31703,5.85996,1.56204,0.000631579,0.000631579,0.000631579
2,179.939,1.90151,4.79917,1.49088,0.35803,0.35714,0.2924,0.09248,2.52484,7.68397,2.01881,0.00127254,0.00127254,0.00127254
3,266.049,1.99394,5.7265,1.45236,0.00071,0.64286,0.00106,0.00035,3.47166,9.12625,2.27061,0.0018871,0.0018871,0.0018871
4,351.127,2.15812,3.96586,1.72381,0.05197,0.5,0.04353,0.01284,2.51391,5.63867,2.50032,0.0018812,0.0018812,0.0018812
5,434.386,1.9484,4.13468,1.60863,0.23087,0.14286,0.16244,0.07628,2.43766,12.431,3.51097,0.0018416,0.0018416,0.0018416
6,519.002,2.19573,4.08594,1.61845,0.04831,0.21429,0.05188,0.00825,2.70958,16.15,2.90246,0.001802,0.001802,0.001802
7,606.992,1.90373,3.59248,1.61463,0.77574,0.07143,0.11715,0.04207,2.35189,6.43978,1.96449,0.0017624,0.0017624,0.0017624
8,692.553,1.74205,3.3501,1.52536,0.09744,0.35714,0.13251,0.03225,2.40408,5.93112,1.88796,0.0017228,0.0017228,0.0017228
9,777.73,1.97137,3.02636,1.57255,0.40277,0.21429,0.20913,0.0729,2.71564,6.08293,2.63319,0.0016832,0.0016832,0.0016832
10,862.09,1.90794,3.14118,1.54104,0.26068,0.27755,0.18579,0.0512,2.27885,7.49984,1.86212,0.0016436,0.0016436,0.0016436
11,948.839,1.80031,3.43284,1.48651,0.08211,0.57143,0.06606,0.02802,2.17329,9.55311,2.08839,0.001604,0.001604,0.001604
12,1032.44,1.88587,3.28565,1.52415,0.28765,0.35714,0.23212,0.10261,2.34095,5.46206,1.87866,0.0015644,0.0015644,0.0015644
13,1117.13,2.01218,3.22366,1.566,0.33896,0.5,0.25623,0.08391,2.72215,4.41933,2.10621,0.0015248,0.0015248,0.0015248
14,1200.37,1.79437,3.47066,1.49004,0.01323,0.21429,0.01036,0.0019,3.17158,7.4202,2.82671,0.0014852,0.0014852,0.0014852
15,1284.46,1.97079,2.98707,1.62512,0.01084,0.07143,0.01003,0.00274,3.47276,6.16832,2.89918,0.0014456,0.0014456,0.0014456
16,1367.63,1.78378,2.70471,1.45508,0.11733,0.21429,0.11622,0.04646,2.46305,4.56778,1.85033,0.001406,0.001406,0.001406
